Id,ActivityDate,TotalSteps,TotalDistanceKm,TrackerDistanceKm,LoggedActivitiesDistanceKm,VeryActiveDistanceKm,ModeratelyActiveDistanceKm,LightActiveDistanceKm,SedentaryActiveDistanceKm,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-12-04,13162,"13,68","13,68","0,00","3,03","0,89","9,75","0,00",25,13,328,728,1985
1503960366,2016-04-13,10735,"11,22","11,22","0,00","2,53","1,11","7,58","0,00",21,19,217,776,1797
1503960366,2016-04-14,10460,"10,85","10,85","0,00","3,93","0,64","6,29","0,00",30,11,181,1218,1776
1503960366,2016-04-15,9762,"10,11","10,11","0,00","3,44","2,03","4,55","0,00",29,34,209,726,1745
1503960366,2016-04-16,12669,"13,13","13,13","0,00","4,36","0,66","8,11","0,00",36,10,221,773,1863
1503960366,2016-04-17,9705,"10,43","10,43","0,00","5,13","1,26","4,04","0,00",38,20,164,539,1728
1503960366,2016-04-18,13019,"13,82","13,82","0,00","5,23","1,03","7,58","0,00",42,16,233,1149,1921
1503960366,2016-04-19,15506,"15,90","15,90","0,00","5,68","2,12","8,09","0,00",50,31,264,775,2035
1503960366,2016-04-20,10544,"10,75","10,75","0,00","3,15","0,77","6,82","0,00",28,12,205,818,1786
1503960366,2016-04-21,9819,"10,20","10,20","0,00","2,16","0,56","7,48","0,00",19,8,211,838,1775
1503960366,2016-04-22,12764,"13,08","13,08","0,00","7,66","1,80","3,60","0,00",66,27,130,1217,1827
1503960366,2016-04-23,14371,"14,55","14,55","0,00","4,52","1,40","8,63","0,00",41,21,262,732,1949
1503960366,2016-04-24,10039,"10,32","10,32","0,00","4,70","0,34","5,28","0,00",39,5,238,709,1788
1503960366,2016-04-25,15355,"15,77","15,77","0,00","8,51","0,92","6,34","0,00",73,14,216,814,2013
1503960366,2016-04-26,13755,"14,15","14,15","0,00","3,75","1,48","8,92","0,00",31,23,279,833,1970
1503960366,2016-04-27,18134,"19,65","19,65","0,00","10,30","0,66","8,71","0,00",78,11,243,1108,2159
1503960366,2016-04-28,13154,"13,73","13,73","0,00","5,70","1,87","6,10","0,00",48,28,189,782,1898
1503960366,2016-04-29,11181,"11,51","11,51","0,00","1,71","0,80","8,98","0,00",16,12,243,815,1837
1503960366,2016-04-30,14673,"14,89","14,89","0,00","5,73","2,29","6,87","0,00",52,34,217,712,1947
1503960366,2016-01-05,10602,"10,96","10,96","0,00","3,69","2,57","4,70","0,00",33,35,246,730,1820
1503960366,2016-02-05,14727,"15,63","15,63","0,00","5,17","0,92","9,53","0,00",41,15,277,798,2004
1503960366,2016-03-05,15103,"15,55","15,55","0,00","6,00","1,69","7,85","0,00",50,24,254,816,1990
1503960366,2016-04-05,11100,"11,51","11,51","0,00","3,96","1,40","6,15","0,00",36,22,203,1179,1819
1503960366,2016-05-05,14070,"14,32","14,32","0,00","4,70","1,74","7,85","0,00",45,24,250,857,1959
1503960366,2016-06-05,12159,"12,92","12,92","0,00","3,17","0,40","9,35","0,00",24,6,289,754,1896
1503960366,2016-07-05,11992,"12,41","12,41","0,00","3,96","3,41","5,04","0,00",37,46,175,833,1821
1503960366,2016-08-05,10060,"10,59","10,59","0,00","5,68","0,51","4,39","0,00",44,8,203,574,1740
1503960366,2016-09-05,12022,"12,42","12,42","0,00","5,55","0,85","6,02","0,00",46,11,206,835,1819
1503960366,2016-10-05,12207,"12,50","12,50","0,00","5,39","1,87","5,25","0,00",46,31,214,746,1859
1503960366,2016-11-05,12770,"13,08","13,08","0,00","4,12","1,63","7,32","0,00",36,23,251,669,1783
1503960366,2016-12-05,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,0,0,1440,0
1624580081,2016-12-04,8163,"8,55","8,55","0,00","0,00","0,00","8,55","0,00",0,0,146,1294,1432
1624580081,2016-04-13,7007,"7,32","7,32","0,00","0,00","0,00","7,32","0,00",0,0,148,1292,1411
1624580081,2016-04-14,9107,"9,53","9,53","0,00","0,00","0,00","9,51","0,02",0,0,236,1204,1572
1624580081,2016-04-15,1510,"1,58","1,58","0,00","0,00","0,00","1,56","0,00",0,0,96,1344,1344
1624580081,2016-04-16,5370,"5,62","5,62","0,00","0,00","0,00","5,62","0,00",0,0,176,1264,1463
1624580081,2016-04-17,6175,"6,53","6,53","0,00","1,66","2,45","2,40","0,02",15,22,127,1276,1554
1624580081,2016-04-18,10536,"11,93","11,93","0,00","3,46","1,00","7,44","0,02",17,7,202,1214,1604
1624580081,2016-04-19,2916,"3,06","3,06","0,00","0,00","0,00","3,06","0,00",0,0,141,1299,1435
1624580081,2016-04-20,4974,"5,20","5,20","0,00","0,00","0,00","5,20","0,00",0,0,151,1289,1446
1624580081,2016-04-21,6349,"6,65","6,65","0,00","0,00","0,00","6,61","0,03",0,0,186,1254,1467
1624580081,2016-04-22,4026,"4,22","4,22","0,00","0,00","0,00","4,18","0,00",0,0,199,1241,1470
1624580081,2016-04-23,8538,"8,93","8,93","0,00","0,00","0,00","8,92","0,02",0,0,227,1213,1562
1624580081,2016-04-24,6076,"6,36","6,36","0,00","1,85","1,46","3,04","0,00",16,18,185,1221,1617
1624580081,2016-04-25,6497,"6,79","6,79","0,00","0,00","0,00","6,76","0,03",0,0,202,1238,1492
1624580081,2016-04-26,2826,"2,96","2,96","0,00","0,00","0,00","2,95","0,02",0,0,140,1300,1402
1624580081,2016-04-27,8367,"8,75","8,75","0,00","1,79","3,01","3,96","0,00",17,36,154,1233,1670
1624580081,2016-04-28,2759,"2,88","2,88","0,00","0,00","0,32","2,57","0,00",0,5,115,1320,1401
1624580081,2016-04-29,2390,"2,49","2,49","0,00","0,00","0,00","2,49","0,00",0,0,150,1290,1404
1624580081,2016-04-30,6474,"6,92","6,92","0,00","1,45","2,06","3,41","0,02",11,23,224,1182,1655
1624580081,2016-01-05,36019,"45,11","45,11","0,00","35,28","6,74","3,07","0,03",186,63,171,1020,2690
1624580081,2016-02-05,7155,"7,93","7,93","0,00","1,38","0,95","5,58","0,00",7,6,166,1261,1497
1624580081,2016-03-05,2100,"2,20","2,20","0,00","0,00","0,00","2,16","0,03",0,0,96,1344,1334
1624580081,2016-04-05,2193,"2,30","2,30","0,00","0,00","0,00","2,29","0,00",0,0,118,1322,1368
1624580081,2016-05-05,2470,"2,59","2,59","0,00","0,00","0,00","2,54","0,03",0,0,117,1323,1370
1624580081,2016-06-05,1727,"1,80","1,80","0,00","0,00","0,00","1,80","0,02",0,0,102,1338,1341
1624580081,2016-07-05,2104,"2,20","2,20","0,00","0,00","0,00","2,20","0,00",0,0,182,1258,1474
1624580081,2016-08-05,3427,"3,59","3,59","0,00","0,00","0,00","3,57","0,00",0,0,152,1288,1427
1624580081,2016-09-05,1732,"1,82","1,82","0,00","0,00","0,00","1,82","0,00",0,0,91,1349,1328
1624580081,2016-10-05,2969,"3,11","3,11","0,00","0,00","0,00","3,09","0,02",0,0,139,1301,1393
1624580081,2016-11-05,3134,"3,28","3,28","0,00","0,00","0,00","3,28","0,00",0,0,112,1328,1359
1624580081,2016-12-05,2971,"3,11","3,11","0,00","0,00","0,00","3,09","0,02",0,0,107,890,1002
1644430081,2016-12-04,10694,"12,50","12,50","0,00","0,23","3,70","8,58","0,00",2,51,256,1131,3199
1644430081,2016-04-13,8001,"9,37","9,37","0,00","3,67","1,45","4,25","0,00",30,16,135,1259,2902
1644430081,2016-04-14,11037,"12,91","12,91","0,00","0,58","4,12","8,21","0,00",5,58,252,1125,3226
1644430081,2016-04-15,5263,"6,16","6,16","0,00","0,35","0,24","5,55","0,00",3,4,170,1263,2750
1644430081,2016-04-16,15300,"17,90","17,90","0,00","6,60","3,03","8,19","0,00",51,42,212,1135,3493
1644430081,2016-04-17,8757,"10,25","10,25","0,00","3,62","0,92","5,71","0,00",29,13,186,1212,3011
1644430081,2016-04-18,7132,"8,35","8,35","0,00","1,72","2,69","3,94","0,00",15,33,121,1271,2806
1644430081,2016-04-19,11256,"13,16","13,16","0,00","0,58","4,07","8,53","0,00",5,58,278,1099,3300
1644430081,2016-04-20,2436,"2,85","2,85","0,00","0,00","0,00","2,83","0,02",0,0,125,1315,2430
1644430081,2016-04-21,1223,"1,43","1,43","0,00","0,00","0,00","1,42","0,02",0,0,38,1402,2140
1644430081,2016-04-22,3673,"4,30","4,30","0,00","0,00","0,00","4,28","0,02",0,0,86,1354,2344
